,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,20.898247986870597,21.066501180908396,21.386552506128428,21.49196345836383,21.037246488010183,21.231235719288026,21.44869143375256,21.464255001218028,21.09779489357447,21.093718013370353,20.748436765460326,20.890029799652634,21.088747470332002,21.049572002711972,21.124786282507877,21.303964144896486,21.19075502218106,21.028910653366925,20.891849983508234,21.397115331375876,20.7825084624869,21.307713102228853,21.519177904935034,21.068556189044102,21.279355856234563,21.269516105648762,21.15208676083334,20.822380721786324,21.202774815189773,20.79897774946727,21.220808941026455,21.04602875076836,20.845389005432615,21.27716586423558,21.070357909917877,21.283282409285462,21.282802410957924,20.408951098631768,21.009062721697322,21.1586385204042,21.04266113896641,21.324387490913974,21.189676591331622,21.47072571226563,21.033397276632822,21.101788208265045,20.99491156433665,20.63801039670208,21.46206677981057,21.18650794474774
Latency,0.0032372998067893657,0.003064770150474823,0.002977381026162243,0.002729183388834205,0.003287493518319205,0.0029464779708167194,0.002953260568560777,0.002860046848926949,0.0030199118880531446,0.0028106766303074384,0.00326133239104041,0.00315358469731928,0.0031862497166719353,0.0029905776964741075,0.0030185337301296905,0.002965761013780589,0.0028048951402060004,0.0030032302899037013,0.0030740794941893626,0.0030226332545506777,0.0032210074439185743,0.0028909163790410046,0.0028686554357720173,0.003239005899435758,0.0028371475723914298,0.002945645343278297,0.0030511558122470065,0.0031118449014580305,0.002978600779473469,0.0030856184836869594,0.002992800258356399,0.003036658759380218,0.0032122448931439966,0.0030091448505645047,0.002999456059403313,0.0029245278989619883,0.0030801881019741377,0.003301196685882495,0.0031233203232125402,0.0029967062105903776,0.0033071905558351464,0.002951433835433616,0.003039432461829211,0.0029837838111079554,0.0030021275810160077,0.0030973959571253163,0.0029902497322617403,0.0032776329567916207,0.003094962609548225,0.0029705037639258694
Average_capacity,83.495,82.828,84.403,87.254,82.653,79.787,85.046,87.5,85.714,83.653,87.378,85.436,78.787,85.981,82.407,83.809,85.576,82.692,83.838,82.352,86.792,86.792,87.85,84.466,82.352,86.407,86.407,84.466,84.905,86.538,86.666,87.037,83.838,85.0,82.178,85.321,85.294,83.0,85.981,87.85,84.158,83.838,84.466,83.0,89.423,87.037,84.466,83.495,82.474,86.238
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_capacity,8600.0,8200.0,9200.0,8900.0,8100.0,7500.0,9100.0,9100.0,9000.0,8700.0,9000.0,8800.0,7800.0,9200.0,8900.0,8800.0,8900.0,8600.0,8300.0,8400.0,9200.0,9200.0,9400.0,8700.0,8400.0,8900.0,8900.0,8700.0,9000.0,9000.0,9100.0,9400.0,8300.0,8500.0,8300.0,9300.0,8700.0,8300.0,9200.0,9400.0,8500.0,8300.0,8700.0,8300.0,9300.0,9400.0,8700.0,8600.0,8000.0,9400.0
Blocking_event,39,43,34,54,30,38,40,51,29,43,61,44,34,44,36,39,45,44,44,34,36,43,62,41,27,44,39,39,43,34,50,42,35,39,39,39,35,40,40,39,61,37,31,44,48,48,37,45,35,33
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,16.99564220340178,16.688984335321603,16.777779291719458,16.1213114052986,15.714998320042282,16.777779291719458,16.99564220340178,16.99564220340178,15.714998320042282,17.71041049873793,15.881268107777336,15.701694548733165,15.512525216677604,16.377694494952543,16.22681109605089,16.99564220340178,17.71041049873793,16.99564220340178,16.777779291719458,17.71041049873793,16.162993215857004,16.688984335321603,15.512525216677604,15.512525216677604,16.99564220340178,15.701694548733165,16.92327062966867,16.92327062966867,15.768472994435294,16.92327062966867,15.768472994435294,17.012476258033352,15.701694548733165,16.99564220340178,16.834002225019713,15.714998320042282,15.53954570659521,15.512525216677604,16.688984335321603,16.260513584431823,15.1896015719628,16.99564220340178,15.219678244569469,16.688984335321603,16.99564220340178,16.260513584431823,16.777779291719458,15.269361092378864,14.49450946200857,15.768472994435294
Rejected_connections,17,17,17,13,17,19,16,13,15,17,13,15,21,15,19,17,15,18,16,18,14,14,13,16,18,14,14,16,16,14,14,14,16,15,18,16,15,17,15,13,16,16,16,17,11,14,16,17,17,15
Accepted_connections,86,82,92,89,81,75,91,91,90,87,90,88,78,92,89,88,89,86,83,84,92,92,94,87,84,89,89,87,90,90,91,94,83,85,83,93,87,83,92,94,85,83,87,83,93,94,87,86,80,94
