Paths,1,2,3,4,5,6,7,8,9,10
A->C->B,0,1,1,1,1,1,1,1,1,1
A->C->E->F->B,0,0,0,1,1,1,1,1,1,0
A->C->E->B,0,0,0,1,1,1,1,1,1,1
A->C->E->D->F->B,0,0,0,1,1,1,1,1,1,1
A->F->B,0,0,1,1,1,1,1,1,1,1
A->F->D->E->B,0,0,0,1,1,1,1,1,1,1
A->F->D->E->C->B,0,0,0,1,1,1,1,1,1,0
A->F->E->B,0,1,0,1,1,1,1,1,1,1
A->F->E->C->B,0,0,0,1,1,1,1,1,1,1
A->B,0,1,1,1,1,1,1,1,1,1
A->E->F->B,0,0,1,1,1,1,1,1,1,1
A->E->B,0,0,1,1,1,1,1,1,1,1
A->E->C->B,0,0,0,1,1,1,1,1,1,1
A->E->D->F->B,0,0,1,1,1,1,1,1,1,0
A->C,0,1,1,1,1,1,1,1,1,1
A->F->B->E->C,0,0,0,1,1,1,1,1,1,1
A->F->B->C,0,0,1,1,1,1,1,1,1,1
A->F->D->E->B->C,0,0,0,1,1,1,1,1,1,1
A->F->D->E->C,0,0,0,1,1,1,1,1,1,0
A->F->E->B->C,0,1,0,1,1,1,1,1,1,1
A->F->E->C,0,0,0,1,1,1,1,1,1,1
A->B->E->C,0,0,0,1,1,1,1,1,1,1
A->B->C,0,1,1,1,1,1,1,1,1,1
A->B->F->D->E->C,0,0,0,1,1,1,1,1,1,0
A->B->F->E->C,0,0,0,1,1,1,1,1,1,1
A->E->F->B->C,0,0,1,1,1,1,1,1,1,1
A->E->B->C,0,0,1,1,1,1,1,1,1,1
A->E->C,0,0,0,1,1,1,1,1,1,1
A->E->D->F->B->C,0,0,1,1,1,1,1,1,1,0
A->C->B->E->F->D,0,0,1,1,1,1,1,1,1,1
A->C->B->E->D,0,0,1,1,1,1,1,1,1,1
A->C->B->F->D,0,0,1,1,1,1,1,1,1,1
A->C->B->F->E->D,0,0,0,1,1,1,1,1,1,1
A->C->E->F->D,0,0,0,1,1,1,1,1,1,0
A->C->E->B->F->D,0,0,0,1,1,1,1,1,1,1
A->C->E->D,0,0,0,1,1,1,1,1,1,1
A->F->B->E->D,0,0,1,1,1,1,1,1,1,1
A->F->B->C->E->D,0,0,0,1,1,1,1,1,1,1
A->F->D,0,0,1,1,1,1,1,1,1,1
A->F->E->D,0,0,0,1,1,1,1,1,1,1
A->B->E->F->D,0,0,1,1,1,1,1,1,1,1
A->B->E->D,0,0,1,1,1,1,1,1,1,1
A->B->C->E->F->D,0,0,0,1,1,1,1,1,1,0
A->B->C->E->D,0,0,0,1,1,1,1,1,1,1
A->B->F->D,0,0,1,1,1,1,1,1,1,1
A->B->F->E->D,0,0,0,1,1,1,1,1,1,1
A->E->F->D,0,0,1,1,1,1,1,1,1,1
A->E->B->F->D,0,0,1,1,1,1,1,1,1,1
A->E->C->B->F->D,0,0,0,1,1,1,1,1,1,1
A->E->D,0,0,1,1,1,1,1,1,1,0
A->C->B->E,0,1,1,1,1,1,1,1,1,1
A->C->B->F->D->E,0,0,0,1,1,1,1,1,1,1
A->C->B->F->E,0,0,0,1,1,1,1,1,1,1
A->C->E,0,0,0,1,1,1,1,1,1,1
A->F->B->E,0,0,1,1,1,1,1,1,1,1
A->F->B->C->E,0,0,0,1,1,1,1,1,1,1
A->F->D->E,0,0,0,1,1,1,1,1,1,1
A->F->E,0,1,0,1,1,1,1,1,1,1
A->B->E,0,1,1,1,1,1,1,1,1,1
A->B->C->E,0,0,0,1,1,1,1,1,1,1
A->B->F->D->E,0,0,0,1,1,1,1,1,1,1
A->B->F->E,0,0,0,1,1,1,1,1,1,1
A->E,0,0,1,1,1,1,1,1,1,1
A->C->B->E->F,0,0,1,1,1,1,1,1,1,1
A->C->B->E->D->F,0,0,1,1,1,1,1,1,1,1
A->C->B->F,0,0,1,1,1,1,1,1,1,1
A->C->E->F,0,0,0,1,1,1,1,1,1,0
A->C->E->B->F,0,0,0,1,1,1,1,1,1,1
A->C->E->D->F,0,0,0,1,1,1,1,1,1,1
A->F,0,1,1,1,1,1,1,1,1,1
A->B->E->F,0,0,1,1,1,1,1,1,1,1
A->B->E->D->F,0,0,1,1,1,1,1,1,1,1
A->B->C->E->F,0,0,0,1,1,1,1,1,1,0
A->B->C->E->D->F,0,0,0,1,1,1,1,1,1,1
A->B->F,0,0,1,1,1,1,1,1,1,1
A->E->F,0,0,1,1,1,1,1,1,1,1
A->E->B->F,0,0,1,1,1,1,1,1,1,1
A->E->C->B->F,0,0,0,1,1,1,1,1,1,1
A->E->D->F,0,0,1,1,1,1,1,1,1,0
B->A,0,1,1,1,1,1,1,1,1,1
B->E->A,0,0,1,1,1,1,1,1,1,1
B->E->F->A,0,0,1,1,1,1,1,1,1,1
B->E->C->A,0,0,0,1,1,1,1,1,1,1
B->E->D->F->A,0,0,1,1,1,1,1,1,1,1
B->C->E->A,0,0,0,1,1,1,1,1,1,1
B->C->E->F->A,0,0,0,1,1,1,1,1,1,0
B->C->E->D->F->A,0,0,0,1,1,1,1,1,1,1
B->C->A,0,1,1,1,1,1,1,1,1,1
B->F->A,0,0,1,1,1,1,1,1,1,1
B->F->D->E->A,0,0,0,1,1,1,1,1,1,1
B->F->D->E->C->A,0,0,0,1,1,1,1,1,1,0
B->F->E->A,0,0,0,1,1,1,1,1,1,1
B->F->E->C->A,0,0,0,1,1,1,1,1,1,1
B->A->C,0,1,1,1,1,1,1,1,1,1
B->A->F->D->E->C,0,0,0,1,1,1,1,1,1,0
B->A->F->E->C,0,0,0,1,1,1,1,1,1,1
B->A->E->C,0,0,0,1,1,1,1,1,1,1
B->E->A->C,0,0,1,1,1,1,1,1,1,1
B->E->F->A->C,0,0,1,1,1,1,1,1,1,1
B->E->C,0,0,0,1,1,1,1,1,1,1
B->E->D->F->A->C,0,0,1,1,1,1,1,1,1,1
B->C,0,1,1,1,1,1,1,1,1,1
B->F->A->C,0,0,1,1,1,1,1,1,1,1
B->F->A->E->C,0,0,0,1,1,1,1,1,1,1
B->F->D->E->A->C,0,0,0,1,1,1,1,1,1,1
B->F->D->E->C,0,0,0,1,1,1,1,1,1,0
B->F->E->A->C,0,0,0,1,1,1,1,1,1,1
B->F->E->C,0,0,0,1,1,1,1,1,1,1
B->A->C->E->F->D,0,0,0,1,1,1,1,1,1,0
B->A->C->E->D,0,0,0,1,1,1,1,1,1,1
B->A->F->D,0,0,1,1,1,1,1,1,1,1
B->A->F->E->D,0,0,0,1,1,1,1,1,1,1
B->A->E->F->D,0,0,1,1,1,1,1,1,1,1
B->A->E->D,0,0,1,1,1,1,1,1,1,0
B->E->A->F->D,0,0,1,1,1,1,1,1,1,1
B->E->F->D,0,0,1,1,1,1,1,1,1,1
B->E->C->A->F->D,0,0,0,1,1,1,1,1,1,1
B->E->D,0,0,1,1,1,1,1,1,1,1
B->C->E->A->F->D,0,0,0,1,1,1,1,1,1,1
B->C->E->F->D,0,0,0,1,1,1,1,1,1,0
B->C->E->D,0,0,0,1,1,1,1,1,1,1
B->C->A->F->D,0,0,1,1,1,1,1,1,1,1
B->C->A->F->E->D,0,0,0,1,1,1,1,1,1,1
B->C->A->E->F->D,0,0,1,1,1,1,1,1,1,1
B->C->A->E->D,0,0,1,1,1,1,1,1,1,0
B->F->A->C->E->D,0,0,0,1,1,1,1,1,1,1
B->F->A->E->D,0,0,1,1,1,1,1,1,1,0
B->F->D,0,0,1,1,1,1,1,1,1,1
B->F->E->D,0,0,0,1,1,1,1,1,1,1
B->A->C->E,0,0,0,1,1,1,1,1,1,1
B->A->F->D->E,0,0,0,1,1,1,1,1,1,1
B->A->F->E,0,1,0,1,1,1,1,1,1,1
B->A->E,0,0,1,1,1,1,1,1,1,1
B->E,0,1,1,1,1,1,1,1,1,1
B->C->E,0,0,0,1,1,1,1,1,1,1
B->C->A->F->D->E,0,0,0,1,1,1,1,1,1,1
B->C->A->F->E,0,1,0,1,1,1,1,1,1,1
B->C->A->E,0,0,1,1,1,1,1,1,1,1
B->F->A->C->E,0,0,0,1,1,1,1,1,1,1
B->F->A->E,0,0,1,1,1,1,1,1,1,1
B->F->D->E,0,0,0,1,1,1,1,1,1,1
B->F->E,0,0,0,1,1,1,1,1,1,1
B->A->C->E->F,0,0,0,1,1,1,1,1,1,0
B->A->C->E->D->F,0,0,0,1,1,1,1,1,1,1
B->A->F,0,1,1,1,1,1,1,1,1,1
B->A->E->F,0,0,1,1,1,1,1,1,1,1
B->A->E->D->F,0,0,1,1,1,1,1,1,1,0
B->E->A->F,0,0,1,1,1,1,1,1,1,1
B->E->F,0,0,1,1,1,1,1,1,1,1
B->E->C->A->F,0,0,0,1,1,1,1,1,1,1
B->E->D->F,0,0,1,1,1,1,1,1,1,1
B->C->E->A->F,0,0,0,1,1,1,1,1,1,1
B->C->E->F,0,0,0,1,1,1,1,1,1,0
B->C->E->D->F,0,0,0,1,1,1,1,1,1,1
B->C->A->F,0,1,1,1,1,1,1,1,1,1
B->C->A->E->F,0,0,1,1,1,1,1,1,1,1
B->C->A->E->D->F,0,0,1,1,1,1,1,1,1,0
B->F,0,0,1,1,1,1,1,1,1,1
C->B->A,0,1,1,1,1,1,1,1,1,1
C->B->E->A,0,0,1,1,1,1,1,1,1,1
C->B->E->F->A,0,0,1,1,1,1,1,1,1,1
C->B->E->D->F->A,0,0,1,1,1,1,1,1,1,1
C->B->F->A,0,0,1,1,1,1,1,1,1,1
C->B->F->D->E->A,0,0,0,1,1,1,1,1,1,1
C->B->F->E->A,0,0,0,1,1,1,1,1,1,1
C->E->A,0,0,0,1,1,1,1,1,1,1
C->E->F->A,0,0,0,1,1,1,1,1,1,0
C->E->F->B->A,0,0,0,1,1,1,1,1,1,0
C->E->B->A,0,0,0,1,1,1,1,1,1,1
C->E->B->F->A,0,0,0,1,1,1,1,1,1,1
C->E->D->F->A,0,0,0,1,1,1,1,1,1,1
C->E->D->F->B->A,0,0,0,1,1,1,1,1,1,1
C->A,0,1,1,1,1,1,1,1,1,1
C->B,0,1,1,1,1,1,1,1,1,1
C->E->A->F->B,0,0,0,1,1,1,1,1,1,1
C->E->A->B,0,0,0,1,1,1,1,1,1,1
C->E->F->A->B,0,0,0,1,1,1,1,1,1,0
C->E->F->B,0,0,0,1,1,1,1,1,1,0
C->E->B,0,0,0,1,1,1,1,1,1,1
C->E->D->F->A->B,0,0,0,1,1,1,1,1,1,1
C->E->D->F->B,0,0,0,1,1,1,1,1,1,1
C->A->F->B,0,0,1,1,1,1,1,1,1,1
C->A->F->D->E->B,0,0,0,1,1,1,1,1,1,1
C->A->F->E->B,0,1,0,1,1,1,1,1,1,1
C->A->B,0,1,1,1,1,1,1,1,1,1
C->A->E->F->B,0,0,1,1,1,1,1,1,1,1
C->A->E->B,0,0,1,1,1,1,1,1,1,1
C->A->E->D->F->B,0,0,1,1,1,1,1,1,1,0
C->B->A->F->D,0,0,1,1,1,1,1,1,1,1
C->B->A->F->E->D,0,0,0,1,1,1,1,1,1,1
C->B->A->E->F->D,0,0,1,1,1,1,1,1,1,1
C->B->A->E->D,0,0,1,1,1,1,1,1,1,0
C->B->E->A->F->D,0,0,1,1,1,1,1,1,1,1
C->B->E->F->D,0,0,1,1,1,1,1,1,1,1
C->B->E->D,0,0,1,1,1,1,1,1,1,1
C->B->F->A->E->D,0,0,1,1,1,1,1,1,1,0
C->B->F->D,0,0,1,1,1,1,1,1,1,1
C->B->F->E->D,0,0,0,1,1,1,1,1,1,1
C->E->A->F->D,0,0,0,1,1,1,1,1,1,1
C->E->A->B->F->D,0,0,0,1,1,1,1,1,1,1
C->E->F->D,0,0,0,1,1,1,1,1,1,0
C->E->B->A->F->D,0,0,0,1,1,1,1,1,1,1
C->E->B->F->D,0,0,0,1,1,1,1,1,1,1
C->E->D,0,0,0,1,1,1,1,1,1,1
C->A->F->B->E->D,0,0,1,1,1,1,1,1,1,1
C->A->F->D,0,0,1,1,1,1,1,1,1,1
C->A->F->E->D,0,0,0,1,1,1,1,1,1,1
C->A->B->E->F->D,0,0,1,1,1,1,1,1,1,1
C->A->B->E->D,0,0,1,1,1,1,1,1,1,1
C->A->B->F->D,0,0,1,1,1,1,1,1,1,1
C->A->B->F->E->D,0,0,0,1,1,1,1,1,1,1
C->A->E->F->D,0,0,1,1,1,1,1,1,1,1
C->A->E->B->F->D,0,0,1,1,1,1,1,1,1,1
C->A->E->D,0,0,1,1,1,1,1,1,1,0
C->B->A->F->D->E,0,0,0,1,1,1,1,1,1,1
C->B->A->F->E,0,1,0,1,1,1,1,1,1,1
C->B->A->E,0,0,1,1,1,1,1,1,1,1
C->B->E,0,1,1,1,1,1,1,1,1,1
C->B->F->A->E,0,0,1,1,1,1,1,1,1,1
C->B->F->D->E,0,0,0,1,1,1,1,1,1,1
C->B->F->E,0,0,0,1,1,1,1,1,1,1
C->E,0,0,0,1,1,1,1,1,1,1
C->A->F->B->E,0,0,1,1,1,1,1,1,1,1
C->A->F->D->E,0,0,0,1,1,1,1,1,1,1
C->A->F->E,0,1,0,1,1,1,1,1,1,1
C->A->B->E,0,1,1,1,1,1,1,1,1,1
C->A->B->F->D->E,0,0,0,1,1,1,1,1,1,1
C->A->B->F->E,0,0,0,1,1,1,1,1,1,1
C->A->E,0,0,1,1,1,1,1,1,1,1
C->B->A->F,0,1,1,1,1,1,1,1,1,1
C->B->A->E->F,0,0,1,1,1,1,1,1,1,1
C->B->A->E->D->F,0,0,1,1,1,1,1,1,1,0
C->B->E->A->F,0,0,1,1,1,1,1,1,1,1
C->B->E->F,0,0,1,1,1,1,1,1,1,1
C->B->E->D->F,0,0,1,1,1,1,1,1,1,1
C->B->F,0,0,1,1,1,1,1,1,1,1
C->E->A->F,0,0,0,1,1,1,1,1,1,1
C->E->A->B->F,0,0,0,1,1,1,1,1,1,1
C->E->F,0,0,0,1,1,1,1,1,1,0
C->E->B->A->F,0,0,0,1,1,1,1,1,1,1
